source,location,translation
,WILLOW.PAK\WILLOW.EMC,
This tree is too healthy to cut down.,WILLOW.PAK\WILLOW.EMC,העץ הזה בריא מכדי לחטוב אותו.
I did a great job.,WILLOW.PAK\WILLOW.EMC,עשיתי אחלה עבודה.
Maybe I should become a tree surgeon.,WILLOW.PAK\WILLOW.EMC,אולי אני צריך להיות מנתח עצים.
A thriving tree,WILLOW.PAK\WILLOW.EMC,עץ משגשג.
WOW.WSA,WILLOW.PAK\WILLOW.EMC,
Wow!,WILLOW.PAK\WILLOW.EMC,וואו!
I healed the willow tree!,WILLOW.PAK\WILLOW.EMC,ריפאתי את עץ הערבה!
"That was amazing, Brandon!",WILLOW.PAK\WILLOW.EMC,"זה היה מדהים, ברנדון!"
Want to play?,WILLOW.PAK\WILLOW.EMC,רוצה לשחק?
I'll show you this marble I found.,WILLOW.PAK\WILLOW.EMC,אראה לך את הגולה שמצאתי.
"Sorry, I can't play now, Merith...",WILLOW.PAK\WILLOW.EMC,
...but let me see that marble.,WILLOW.PAK\WILLOW.EMC,
If you want it...,WILLOW.PAK\WILLOW.EMC,
,GENHALL.PAK\GENHALL.EMC,
HERSAW1.WSA,GENHALL.PAK\GENHALL.EMC,
"Brandon, I have your saw!",GENHALL.PAK\GENHALL.EMC,
"That's ok, Herman.  You can keep it.",GENHALL.PAK\GENHALL.EMC,"זה בסדר, הרמן, אתה יכול לשמור אותו."
But I sharpened it just for you!,GENHALL.PAK\GENHALL.EMC,אבל השחזת אותו בשבילך!
HERSAW2.WSA,GENHALL.PAK\GENHALL.EMC,
"Sawing logs, Herman?",GENHALL.PAK\GENHALL.EMC,"מנסר בולי עץ, מה הרמן?"
He won't let go of the saw.,GENHALL.PAK\GENHALL.EMC,הוא לא יניח למסור.
A royal hallway,GENHALL.PAK\GENHALL.EMC,
,SPELL.PAK\SPELL.EMC,
SPELL.WSA,SPELL.PAK\SPELL.EMC,
BRANDYW2.WSA,SPELL.PAK\SPELL.EMC,
Good.,SPELL.PAK\SPELL.EMC,טוב.
You have the scroll.,SPELL.PAK\SPELL.EMC,המגילה ברשותך.
Next you'll seek another tool.,SPELL.PAK\SPELL.EMC,כעת תחפש אחר כלי נוסף.
Another tool?,SPELL.PAK\SPELL.EMC,כלי נוסף?
He must find his birthstones.,SPELL.PAK\SPELL.EMC,
Mirth cones?!,SPELL.PAK\SPELL.EMC,
You mean BIRTHSTONES.,SPELL.PAK\SPELL.EMC,
The seasons have their gems.,SPELL.PAK\SPELL.EMC,
Place each in order on a plate...,SPELL.PAK\SPELL.EMC,
...or something like that.,SPELL.PAK\SPELL.EMC,
What are my birthstones...,SPELL.PAK\SPELL.EMC,
...and what plate?,SPELL.PAK\SPELL.EMC,
Summer is the first.,SPELL.PAK\SPELL.EMC,
I think I hid that one somewhere near...,SPELL.PAK\SPELL.EMC,
That is all I can recall.,SPELL.PAK\SPELL.EMC,
I summoned all your stones...,SPELL.PAK\SPELL.EMC,
...but my spell has gone awry.,SPELL.PAK\SPELL.EMC,
You will have to choose from whatever lies about.,SPELL.PAK\SPELL.EMC,
"Aha, you have my quill!",SPELL.PAK\SPELL.EMC,
Why did I want it?,SPELL.PAK\SPELL.EMC,
You are the Master of Scrolls.,SPELL.PAK\SPELL.EMC,
Write him one to aid his quest.,SPELL.PAK\SPELL.EMC,
Of course!,SPELL.PAK\SPELL.EMC,
You'll need a...,SPELL.PAK\SPELL.EMC,
...Magic scroll!,SPELL.PAK\SPELL.EMC,
I solved the birth- stones quest...,SPELL.PAK\SPELL.EMC,
...and I received a flute.,SPELL.PAK\SPELL.EMC,
"Excellent, Bandon...",SPELL.PAK\SPELL.EMC,"מצוין, ברנדון..."
Have you practiced yet?,SPELL.PAK\SPELL.EMC,
My name is Brandon sir...,SPELL.PAK\SPELL.EMC,
...not Bandon or Cramden...,SPELL.PAK\SPELL.EMC,
...and the flute is rather shrill.,SPELL.PAK\SPELL.EMC,
...and I have not tried playing the flute.,SPELL.PAK\SPELL.EMC,
Zanthia knows Alchemy...,SPELL.PAK\SPELL.EMC,
She could change your name.,SPELL.PAK\SPELL.EMC,
She lives just across Shadowland I think...,SPELL.PAK\SPELL.EMC,
...or did she move?,SPELL.PAK\SPELL.EMC,
Forgive him please...,SPELL.PAK\SPELL.EMC,
...he tries hard.,SPELL.PAK\SPELL.EMC,
The labyrinth begins at Serpent's Grotto.,SPELL.PAK\SPELL.EMC,
Be very cautious!,SPELL.PAK\SPELL.EMC,
There are horrible beasts in there!,SPELL.PAK\SPELL.EMC,
Darm - Are you awake?,SPELL.PAK\SPELL.EMC,
May I help you?,SPELL.PAK\SPELL.EMC,
He asked for ME!,SPELL.PAK\SPELL.EMC,
Why would he visit you?,SPELL.PAK\SPELL.EMC,
What do you want boy?,SPELL.PAK\SPELL.EMC,
Are you taking orders for cheese?,SPELL.PAK\SPELL.EMC,
"This is Brandon, you old dolt.",SPELL.PAK\SPELL.EMC,
You know...,SPELL.PAK\SPELL.EMC,
Kallak's grandson...,SPELL.PAK\SPELL.EMC,
The one on a quest to overthrow Malcolm's power.,SPELL.PAK\SPELL.EMC,
I knew that.,SPELL.PAK\SPELL.EMC,
"So, Branson, you're a dancer?",SPELL.PAK\SPELL.EMC,
That seems odd.,SPELL.PAK\SPELL.EMC,
I'll need a quill.,SPELL.PAK\SPELL.EMC,אני צריך קולמוס.
A what?,SPELL.PAK\SPELL.EMC,מה?
He's had writer's block for years.,SPELL.PAK\SPELL.EMC,היה לו מחסום כתיבה במשך שנים.
Perhaps the crisis has inspired him.,SPELL.PAK\SPELL.EMC,אולי המשבר נתן לו השראה.
Are you saying I scattered papers about just to look busy?,SPELL.PAK\SPELL.EMC,
Say...,SPELL.PAK\SPELL.EMC,
Could YOU brush a dragon's teeth?,SPELL.PAK\SPELL.EMC,
BRANDYW3.WSA,SPELL.PAK\SPELL.EMC,
Do I smell cats on your breath?,SPELL.PAK\SPELL.EMC,
Is it my fault I don't eat knights?,SPELL.PAK\SPELL.EMC,
Yech!,SPELL.PAK\SPELL.EMC,
All sweat and muscle...,SPELL.PAK\SPELL.EMC,
...and so hard to peel!,SPELL.PAK\SPELL.EMC,
"So, can you help me?",SPELL.PAK\SPELL.EMC,
Brynn thought so.,SPELL.PAK\SPELL.EMC,
